Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],5,0.01,0.31,0.5106379774909907
['100% Corpus'],5,0.01,0.61,0.4934484194578639
['100% Corpus'],5,0.01,0.9099999999999999,0.47757357274907725
['100% Corpus'],5,0.01,symmetric,0.519576366325435
['100% Corpus'],5,0.31,0.01,0.5105271571912608
['100% Corpus'],5,0.31,0.31,0.5257568174639728
['100% Corpus'],5,0.31,0.61,0.5124312370848284
['100% Corpus'],5,0.31,0.9099999999999999,0.505489478854084
['100% Corpus'],5,0.31,symmetric,0.5222667295885112
['100% Corpus'],5,0.61,0.01,0.5224958817000556
['100% Corpus'],5,0.61,0.31,0.500395689689381
['100% Corpus'],5,0.61,0.61,0.4999260435708857
['100% Corpus'],5,0.61,0.9099999999999999,0.4864585066295609
['100% Corpus'],5,0.61,symmetric,0.5102217084340237
['100% Corpus'],5,0.9099999999999999,0.01,0.5164967852804807
['100% Corpus'],5,0.9099999999999999,0.31,0.50632521924816
['100% Corpus'],5,0.9099999999999999,0.61,0.4703766893839626
['100% Corpus'],5,0.9099999999999999,0.9099999999999999,0.4671914943992686
['100% Corpus'],5,0.9099999999999999,symmetric,0.5157928806566978
['100% Corpus'],5,symmetric,0.01,0.5227975052808959
['100% Corpus'],5,symmetric,0.31,0.5221794923190691
['100% Corpus'],5,symmetric,0.61,0.5217963992224802
['100% Corpus'],5,symmetric,0.9099999999999999,0.49937433885329907
['100% Corpus'],5,symmetric,symmetric,0.5247196288136068
['100% Corpus'],5,asymmetric,0.01,0.466717773030645
['100% Corpus'],5,asymmetric,0.31,0.49826837871170715
['100% Corpus'],5,asymmetric,0.61,0.532096614342868
['100% Corpus'],5,asymmetric,0.9099999999999999,0.5010946641850428
['100% Corpus'],5,asymmetric,symmetric,0.4084542833000615
['100% Corpus'],6,0.01,0.01,0.5312507128944278
['100% Corpus'],6,0.01,0.31,0.5192249063351889
['100% Corpus'],6,0.01,0.61,0.483044769780923
['100% Corpus'],6,0.01,0.9099999999999999,0.46475725165528553
['100% Corpus'],6,0.01,symmetric,0.4958272618197201
['100% Corpus'],6,0.31,0.01,0.5257835484060654
['100% Corpus'],6,0.31,0.31,0.4938257901234154
['100% Corpus'],6,0.31,0.61,0.4906632925053584
['100% Corpus'],6,0.31,0.9099999999999999,0.47531831913866274
['100% Corpus'],6,0.31,symmetric,0.5034163693337588
['100% Corpus'],6,0.61,0.01,0.512353507688877
['100% Corpus'],6,0.61,0.31,0.50222305978067
['100% Corpus'],6,0.61,0.61,0.4471907894165761
['100% Corpus'],6,0.61,0.9099999999999999,0.4430041972362441
['100% Corpus'],6,0.61,symmetric,0.501482429653427
['100% Corpus'],6,0.9099999999999999,0.01,0.5188077543575714
['100% Corpus'],6,0.9099999999999999,0.31,0.47281346669617935
['100% Corpus'],6,0.9099999999999999,0.61,0.4381298732783823
['100% Corpus'],6,0.9099999999999999,0.9099999999999999,0.46428213349718456
['100% Corpus'],6,0.9099999999999999,symmetric,0.4909558760036119
['100% Corpus'],6,symmetric,0.01,0.5113589829133699
['100% Corpus'],6,symmetric,0.31,0.49382489598623613
['100% Corpus'],6,symmetric,0.61,0.4881218019737788
['100% Corpus'],6,symmetric,0.9099999999999999,0.4836140524657879
['100% Corpus'],6,symmetric,symmetric,0.4992412209260107
['100% Corpus'],6,asymmetric,0.01,0.39658648602197677
['100% Corpus'],6,asymmetric,0.31,0.3875516032309114
['100% Corpus'],6,asymmetric,0.61,0.4017314787386513
['100% Corpus'],6,asymmetric,0.9099999999999999,0.37082265296471
['100% Corpus'],6,asymmetric,symmetric,0.3724043684833252
['100% Corpus'],7,0.01,0.01,0.5283034718342077
['100% Corpus'],7,0.01,0.31,0.4605129046873177
['100% Corpus'],7,0.01,0.61,0.4710573954089449
['100% Corpus'],7,0.01,0.9099999999999999,0.43958189072110193
['100% Corpus'],7,0.01,symmetric,0.4997375164799361
['100% Corpus'],7,0.31,0.01,0.5013359982294706
['100% Corpus'],7,0.31,0.31,0.4786335004626481
['100% Corpus'],7,0.31,0.61,0.4826912279893856
['100% Corpus'],7,0.31,0.9099999999999999,0.46602647153928156
['100% Corpus'],7,0.31,symmetric,0.48613543304666923
['100% Corpus'],7,0.61,0.01,0.48392900905694974
['100% Corpus'],7,0.61,0.31,0.46776054192824124
['100% Corpus'],7,0.61,0.61,0.4265954354444398
['100% Corpus'],7,0.61,0.9099999999999999,0.4174371825027032
['100% Corpus'],7,0.61,symmetric,0.46956386624217333
['100% Corpus'],7,0.9099999999999999,0.01,0.4942431078014463
['100% Corpus'],7,0.9099999999999999,0.31,0.43898658224743636
['100% Corpus'],7,0.9099999999999999,0.61,0.41553003184586995
['100% Corpus'],7,0.9099999999999999,0.9099999999999999,0.510388306938563
['100% Corpus'],7,0.9099999999999999,symmetric,0.46933562863440986
['100% Corpus'],7,symmetric,0.01,0.4994142634731113
['100% Corpus'],7,symmetric,0.31,0.5011759249475228
['100% Corpus'],7,symmetric,0.61,0.4852156641402658
['100% Corpus'],7,symmetric,0.9099999999999999,0.4847598430618065
['100% Corpus'],7,symmetric,symmetric,0.5024886614022785
['100% Corpus'],7,asymmetric,0.01,0.49043812023341843
['100% Corpus'],7,asymmetric,0.31,0.5102369881218041
['100% Corpus'],7,asymmetric,0.61,0.5945587683424131
['100% Corpus'],7,asymmetric,0.9099999999999999,0.6362353440815435
['100% Corpus'],7,asymmetric,symmetric,0.4652062198573808
['100% Corpus'],8,0.01,0.01,0.4778931116038546
['100% Corpus'],8,0.01,0.31,0.4426995751394098
['100% Corpus'],8,0.01,0.61,0.45911623946689295
['100% Corpus'],8,0.01,0.9099999999999999,0.4425268798345387
['100% Corpus'],8,0.01,symmetric,0.4703915092598093
['100% Corpus'],8,0.31,0.01,0.47289400537353854
['100% Corpus'],8,0.31,0.31,0.45417672997267056
['100% Corpus'],8,0.31,0.61,0.42792174852989395
['100% Corpus'],8,0.31,0.9099999999999999,0.43104139719480283
['100% Corpus'],8,0.31,symmetric,0.4694993885095717
['100% Corpus'],8,0.61,0.01,0.47115029033732014
['100% Corpus'],8,0.61,0.31,0.45901812973958633
['100% Corpus'],8,0.61,0.61,0.4535176913808422
['100% Corpus'],8,0.61,0.9099999999999999,0.4408967137681259
['100% Corpus'],8,0.61,symmetric,0.45859936214972497
['100% Corpus'],8,0.9099999999999999,0.01,0.46141802028320567
['100% Corpus'],8,0.9099999999999999,0.31,0.46465217796831937
['100% Corpus'],8,0.9099999999999999,0.61,0.46324126234041685
['100% Corpus'],8,0.9099999999999999,0.9099999999999999,0.5150853724601708
['100% Corpus'],8,0.9099999999999999,symmetric,0.43189238222880366
['100% Corpus'],8,symmetric,0.01,0.4652730177515216
['100% Corpus'],8,symmetric,0.31,0.4477391244012907
['100% Corpus'],8,symmetric,0.61,0.4476183709381101
['100% Corpus'],8,symmetric,0.9099999999999999,0.4722791154302826
['100% Corpus'],8,symmetric,symmetric,0.4732781505240277
['100% Corpus'],8,asymmetric,0.01,0.41100843246224344
['100% Corpus'],8,asymmetric,0.31,0.40314172318394326
['100% Corpus'],8,asymmetric,0.61,0.4757100524206026
['100% Corpus'],8,asymmetric,0.9099999999999999,0.541310259527073
['100% Corpus'],8,asymmetric,symmetric,0.4433565905044916
['100% Corpus'],9,0.01,0.01,0.44413062083358484
['100% Corpus'],9,0.01,0.31,0.39069297240188544
['100% Corpus'],9,0.01,0.61,0.4133718601391992
['100% Corpus'],9,0.01,0.9099999999999999,0.40318692329125405
['100% Corpus'],9,0.01,symmetric,0.4141555900876297
['100% Corpus'],9,0.31,0.01,0.45465849367040523
['100% Corpus'],9,0.31,0.31,0.4769374834939917
['100% Corpus'],9,0.31,0.61,0.47751151185423196
['100% Corpus'],9,0.31,0.9099999999999999,0.4934140597869171
['100% Corpus'],9,0.31,symmetric,0.45618668165914467
['100% Corpus'],9,0.61,0.01,0.4663592209736796
['100% Corpus'],9,0.61,0.31,0.4451437423036293
['100% Corpus'],9,0.61,0.61,0.4733962610104759
['100% Corpus'],9,0.61,0.9099999999999999,0.5197860278052499
['100% Corpus'],9,0.61,symmetric,0.4406497763764207
