Validation_Set,Topics,Alpha,Beta,Coherence
['100% Corpus'],17,0.31,0.01,0.35858861644567325
['100% Corpus'],17,0.31,0.31,0.3905501646484924
['100% Corpus'],17,0.31,0.61,0.4447984425453983
['100% Corpus'],17,0.31,0.9099999999999999,0.4806165075921949
['100% Corpus'],17,0.31,symmetric,0.35077554683242834
['100% Corpus'],17,0.61,0.01,0.4472296490113423
['100% Corpus'],17,0.61,0.31,0.4709894009754425
['100% Corpus'],17,0.61,0.61,0.5326702524882149
['100% Corpus'],17,0.61,0.9099999999999999,0.5546730516820283
['100% Corpus'],17,0.61,symmetric,0.42688460136003026
['100% Corpus'],17,0.9099999999999999,0.01,0.5527669748430083
['100% Corpus'],17,0.9099999999999999,0.31,0.5181698580759803
['100% Corpus'],17,0.9099999999999999,0.61,0.46747212088416357
['100% Corpus'],17,0.9099999999999999,0.9099999999999999,0.4681398850120388
['100% Corpus'],17,0.9099999999999999,symmetric,0.4590470260615754
['100% Corpus'],17,symmetric,0.01,0.43211228101294014
['100% Corpus'],17,symmetric,0.31,0.42733001920259645
['100% Corpus'],17,symmetric,0.61,0.4486338964431329
['100% Corpus'],17,symmetric,0.9099999999999999,0.4136600002675415
['100% Corpus'],17,symmetric,symmetric,0.4280963299496824
['100% Corpus'],17,asymmetric,0.01,0.37951999532576364
['100% Corpus'],17,asymmetric,0.31,0.3830046425864926
['100% Corpus'],17,asymmetric,0.61,0.4099162273894508
['100% Corpus'],17,asymmetric,0.9099999999999999,0.3793414629236266
['100% Corpus'],17,asymmetric,symmetric,0.4009311597392444
['100% Corpus'],18,0.01,0.01,0.3848338011698482
['100% Corpus'],18,0.01,0.31,0.38716931913929287
['100% Corpus'],18,0.01,0.61,0.3469489800714154
['100% Corpus'],18,0.01,0.9099999999999999,0.39294327406797463
['100% Corpus'],18,0.01,symmetric,0.3566604063871932
['100% Corpus'],18,0.31,0.01,0.38109450660695576
['100% Corpus'],18,0.31,0.31,0.3870135053629817
['100% Corpus'],18,0.31,0.61,0.4887440675253882
['100% Corpus'],18,0.31,0.9099999999999999,0.47253188744793106
['100% Corpus'],18,0.31,symmetric,0.36129746904926335
['100% Corpus'],18,0.61,0.01,0.4642799920467242
['100% Corpus'],18,0.61,0.31,0.47631439262709524
['100% Corpus'],18,0.61,0.61,0.5810984795882235
['100% Corpus'],18,0.61,0.9099999999999999,0.5207590922198613
['100% Corpus'],18,0.61,symmetric,0.45052905257080905
['100% Corpus'],18,0.9099999999999999,0.01,0.5427083374664805
['100% Corpus'],18,0.9099999999999999,0.31,0.5241093817045742
['100% Corpus'],18,0.9099999999999999,0.61,0.4681700538622895
['100% Corpus'],18,0.9099999999999999,0.9099999999999999,0.46909343589640023
['100% Corpus'],18,0.9099999999999999,symmetric,0.48242255102277576
['100% Corpus'],18,symmetric,0.01,0.34957971947325794
['100% Corpus'],18,symmetric,0.31,0.3560071628654993
['100% Corpus'],18,symmetric,0.61,0.34952571149086964
['100% Corpus'],18,symmetric,0.9099999999999999,0.39993465380835314
['100% Corpus'],18,symmetric,symmetric,0.4007532431624675
['100% Corpus'],18,asymmetric,0.01,0.35248967930524694
['100% Corpus'],18,asymmetric,0.31,0.32543664283412344
['100% Corpus'],18,asymmetric,0.61,0.35305913955815243
['100% Corpus'],18,asymmetric,0.9099999999999999,0.3780607003762488
['100% Corpus'],18,asymmetric,symmetric,0.3579469103619233
['100% Corpus'],19,0.01,0.01,0.3959684230423067
['100% Corpus'],19,0.01,0.31,0.40121759789440936
['100% Corpus'],19,0.01,0.61,0.4543390670664414
['100% Corpus'],19,0.01,0.9099999999999999,0.43640457093189866
['100% Corpus'],19,0.01,symmetric,0.3711159313099311
['100% Corpus'],19,0.31,0.01,0.3019269600127651
['100% Corpus'],19,0.31,0.31,0.32839331598405896
['100% Corpus'],19,0.31,0.61,0.42460840563663627
['100% Corpus'],19,0.31,0.9099999999999999,0.4777416103982554
['100% Corpus'],19,0.31,symmetric,0.3126789398014013
['100% Corpus'],19,0.61,0.01,0.47603125618187797
['100% Corpus'],19,0.61,0.31,0.44728792487166613
['100% Corpus'],19,0.61,0.61,0.5658613533464681
['100% Corpus'],19,0.61,0.9099999999999999,0.49633072645163634
['100% Corpus'],19,0.61,symmetric,0.42735660623484273
['100% Corpus'],19,0.9099999999999999,0.01,0.5324162380249254
['100% Corpus'],19,0.9099999999999999,0.31,0.5437234896860828
['100% Corpus'],19,0.9099999999999999,0.61,0.46751601363251377
['100% Corpus'],19,0.9099999999999999,0.9099999999999999,0.46780115376193226
['100% Corpus'],19,0.9099999999999999,symmetric,0.47194047950068974
['100% Corpus'],19,symmetric,0.01,0.4436814432196635
['100% Corpus'],19,symmetric,0.31,0.4889391700185621
['100% Corpus'],19,symmetric,0.61,0.4504438053402625
['100% Corpus'],19,symmetric,0.9099999999999999,0.436513060477433
['100% Corpus'],19,symmetric,symmetric,0.4655135947543806
['100% Corpus'],19,asymmetric,0.01,0.3678873134128378
['100% Corpus'],19,asymmetric,0.31,0.3653426148198479
['100% Corpus'],19,asymmetric,0.61,0.3575380091962607
['100% Corpus'],19,asymmetric,0.9099999999999999,0.37993708922893993
['100% Corpus'],19,asymmetric,symmetric,0.35684510027280514
['100% Corpus'],20,0.01,0.01,0.3222308366195385
['100% Corpus'],20,0.01,0.31,0.4280222230225741
['100% Corpus'],20,0.01,0.61,0.3872919083781942
['100% Corpus'],20,0.01,0.9099999999999999,0.4122619617731571
['100% Corpus'],20,0.01,symmetric,0.34932779750980025
['100% Corpus'],20,0.31,0.01,0.34555377542165033
['100% Corpus'],20,0.31,0.31,0.4125515933665528
['100% Corpus'],20,0.31,0.61,0.46303390689484836
['100% Corpus'],20,0.31,0.9099999999999999,0.45527743168952045
['100% Corpus'],20,0.31,symmetric,0.353946481575764
['100% Corpus'],20,0.61,0.01,0.48748671621377504
['100% Corpus'],20,0.61,0.31,0.45602536305080965
['100% Corpus'],20,0.61,0.61,0.5889925773969542
['100% Corpus'],20,0.61,0.9099999999999999,0.5011530799550714
['100% Corpus'],20,0.61,symmetric,0.44214118131587343
['100% Corpus'],20,0.9099999999999999,0.01,0.5466559599520384
['100% Corpus'],20,0.9099999999999999,0.31,0.5459053489738366
['100% Corpus'],20,0.9099999999999999,0.61,0.4661529332264041
['100% Corpus'],20,0.9099999999999999,0.9099999999999999,0.4683480464800237
['100% Corpus'],20,0.9099999999999999,symmetric,0.4834043194929031
['100% Corpus'],20,symmetric,0.01,0.42995991911809267
['100% Corpus'],20,symmetric,0.31,0.43764358684670485
['100% Corpus'],20,symmetric,0.61,0.4324097558653606
['100% Corpus'],20,symmetric,0.9099999999999999,0.4353372683288339
['100% Corpus'],20,symmetric,symmetric,0.4465209156167614
['100% Corpus'],20,asymmetric,0.01,0.362278270385895
['100% Corpus'],20,asymmetric,0.31,0.3470323255461657
['100% Corpus'],20,asymmetric,0.61,0.3499249485559042
['100% Corpus'],20,asymmetric,0.9099999999999999,0.29870754839544933
['100% Corpus'],20,asymmetric,symmetric,0.38069035453616895
['100% Corpus'],21,0.01,0.01,0.3086054664917969
['100% Corpus'],21,0.01,0.31,0.4634389705050224
['100% Corpus'],21,0.01,0.61,0.495358844416002
['100% Corpus'],21,0.01,0.9099999999999999,0.4364639585291967
['100% Corpus'],21,0.01,symmetric,0.3209287722319247
['100% Corpus'],21,0.31,0.01,0.35728877644306467
['100% Corpus'],21,0.31,0.31,0.4082290909072664
['100% Corpus'],21,0.31,0.61,0.5061963288256058
['100% Corpus'],21,0.31,0.9099999999999999,0.5136812134014132
['100% Corpus'],21,0.31,symmetric,0.35163454223132995
['100% Corpus'],21,0.61,0.01,0.4980221850419585
['100% Corpus'],21,0.61,0.31,0.4486154608130103
['100% Corpus'],21,0.61,0.61,0.6118103767949356
['100% Corpus'],21,0.61,0.9099999999999999,0.4731119322067025
['100% Corpus'],21,0.61,symmetric,0.44336540544618347
['100% Corpus'],21,0.9099999999999999,0.01,0.5449176717757773
['100% Corpus'],21,0.9099999999999999,0.31,0.5617371408893239
['100% Corpus'],21,0.9099999999999999,0.61,0.46725160531218635
['100% Corpus'],21,0.9099999999999999,0.9099999999999999,0.46725160531218635
['100% Corpus'],21,0.9099999999999999,symmetric,0.5193433551504236
['100% Corpus'],21,symmetric,0.01,0.38146608531849646
['100% Corpus'],21,symmetric,0.31,0.5244554577798767
['100% Corpus'],21,symmetric,0.61,0.5087431254695676
['100% Corpus'],21,symmetric,0.9099999999999999,0.4662136090786685
['100% Corpus'],21,symmetric,symmetric,0.4379250770940559
['100% Corpus'],21,asymmetric,0.01,0.3869590275225412
['100% Corpus'],21,asymmetric,0.31,0.40050878771108667
['100% Corpus'],21,asymmetric,0.61,0.3989287993938026
['100% Corpus'],21,asymmetric,0.9099999999999999,0.40556537259967823
['100% Corpus'],21,asymmetric,symmetric,0.40561927456431707
['100% Corpus'],22,0.01,0.01,0.3728934141131859
['100% Corpus'],22,0.01,0.31,0.3923542675032428
['100% Corpus'],22,0.01,0.61,0.41916408939269656
['100% Corpus'],22,0.01,0.9099999999999999,0.4365245161769249
['100% Corpus'],22,0.01,symmetric,0.38638507945568656
['100% Corpus'],22,0.31,0.01,0.3122127786225546
['100% Corpus'],22,0.31,0.31,0.36184160543827104
['100% Corpus'],22,0.31,0.61,0.49640916016870923
['100% Corpus'],22,0.31,0.9099999999999999,0.49133128871712484
['100% Corpus'],22,0.31,symmetric,0.31193350616457
['100% Corpus'],22,0.61,0.01,0.4927451377591218
['100% Corpus'],22,0.61,0.31,0.45742119113959506
['100% Corpus'],22,0.61,0.61,0.5955593610686428
['100% Corpus'],22,0.61,0.9099999999999999,0.46869417643627354
['100% Corpus'],22,0.61,symmetric,0.44224222562016374
['100% Corpus'],22,0.9099999999999999,0.01,0.5559523335477883
['100% Corpus'],22,0.9099999999999999,0.31,0.5607832285633977
['100% Corpus'],22,0.9099999999999999,0.61,0.4680721596584754
['100% Corpus'],22,0.9099999999999999,0.9099999999999999,0.46631076675068467
['100% Corpus'],22,0.9099999999999999,symmetric,0.5258002151674003
['100% Corpus'],22,symmetric,0.01,0.42947570511739724
['100% Corpus'],22,symmetric,0.31,0.4204889972063041
['100% Corpus'],22,symmetric,0.61,0.42661657032533107
['100% Corpus'],22,symmetric,0.9099999999999999,0.40981508256475485
['100% Corpus'],22,symmetric,symmetric,0.44932144362562654
['100% Corpus'],22,asymmetric,0.01,0.3655235842841602
['100% Corpus'],22,asymmetric,0.31,0.39486760255697373
['100% Corpus'],22,asymmetric,0.61,0.3748749832439319
['100% Corpus'],22,asymmetric,0.9099999999999999,0.38366948574549525
['100% Corpus'],22,asymmetric,symmetric,0.36993319357816506
['100% Corpus'],23,0.01,0.01,0.3037222472388186
['100% Corpus'],23,0.01,0.31,0.41906777931737677
['100% Corpus'],23,0.01,0.61,0.39168122237032654
['100% Corpus'],23,0.01,0.9099999999999999,0.3966650420628195
['100% Corpus'],23,0.01,symmetric,0.3289865995662267
['100% Corpus'],23,0.31,0.01,0.3314270450027276
['100% Corpus'],23,0.31,0.31,0.37453904639495605
['100% Corpus'],23,0.31,0.61,0.4952381669847504
['100% Corpus'],23,0.31,0.9099999999999999,0.49264701243864234
['100% Corpus'],23,0.31,symmetric,0.3281425067590048
['100% Corpus'],23,0.61,0.01,0.5033903346790077
['100% Corpus'],23,0.61,0.31,0.45630461603122185
['100% Corpus'],23,0.61,0.61,0.5596384619773825
['100% Corpus'],23,0.61,0.9099999999999999,0.4675391262958107
['100% Corpus'],23,0.61,symmetric,0.4171902433236744
['100% Corpus'],23,0.9099999999999999,0.01,0.5578962292743421
['100% Corpus'],23,0.9099999999999999,0.31,0.5821379583654337
['100% Corpus'],23,0.9099999999999999,0.61,0.466885155793598
['100% Corpus'],23,0.9099999999999999,0.9099999999999999,0.466885155793598
['100% Corpus'],23,0.9099999999999999,symmetric,0.5247934400834369
['100% Corpus'],23,symmetric,0.01,0.3545391773483563
['100% Corpus'],23,symmetric,0.31,0.4059577286942307
['100% Corpus'],23,symmetric,0.61,0.4182466577430036
['100% Corpus'],23,symmetric,0.9099999999999999,0.3700428141072572
['100% Corpus'],23,symmetric,symmetric,0.36359099930126676
['100% Corpus'],23,asymmetric,0.01,0.425272337024286
['100% Corpus'],23,asymmetric,0.31,0.41757538533817834
['100% Corpus'],23,asymmetric,0.61,0.4209336722154056
['100% Corpus'],23,asymmetric,0.9099999999999999,0.4316611198835361
['100% Corpus'],23,asymmetric,symmetric,0.4198609285286076
['100% Corpus'],24,0.01,0.01,0.3307104133304311
['100% Corpus'],24,0.01,0.31,0.40318827224199977
['100% Corpus'],24,0.01,0.61,0.4011588330646602
['100% Corpus'],24,0.01,0.9099999999999999,0.3864593761801036
['100% Corpus'],24,0.01,symmetric,0.3157213621910236
['100% Corpus'],24,0.31,0.01,0.31752974139582585
['100% Corpus'],24,0.31,0.31,0.3368159211223816
['100% Corpus'],24,0.31,0.61,0.41135808862331896
['100% Corpus'],24,0.31,0.9099999999999999,0.4572676798915305
['100% Corpus'],24,0.31,symmetric,0.32696207394267324
['100% Corpus'],24,0.61,0.01,0.515853848587831
['100% Corpus'],24,0.61,0.31,0.4452935909845723
['100% Corpus'],24,0.61,0.61,0.5267334353965872
['100% Corpus'],24,0.61,0.9099999999999999,0.4702117837387492
['100% Corpus'],24,0.61,symmetric,0.4255821514388088
['100% Corpus'],24,0.9099999999999999,0.01,0.564145763502749
['100% Corpus'],24,0.9099999999999999,0.31,0.5641723744952837
['100% Corpus'],24,0.9099999999999999,0.61,0.4676525993409708
['100% Corpus'],24,0.9099999999999999,0.9099999999999999,0.46740041860640874
['100% Corpus'],24,0.9099999999999999,symmetric,0.5462126077135692
['100% Corpus'],24,symmetric,0.01,0.37249280280459046
['100% Corpus'],24,symmetric,0.31,0.4054762261169768
['100% Corpus'],24,symmetric,0.61,0.4244466302418724
['100% Corpus'],24,symmetric,0.9099999999999999,0.40519585386972706
['100% Corpus'],24,symmetric,symmetric,0.36726000160323635
['100% Corpus'],24,asymmetric,0.01,0.4003015471652449
['100% Corpus'],24,asymmetric,0.31,0.39954324997391827
['100% Corpus'],24,asymmetric,0.61,0.38161132533134373
['100% Corpus'],24,asymmetric,0.9099999999999999,0.3801098903120539
['100% Corpus'],24,asymmetric,symmetric,0.41958151177574043
['100% Corpus'],25,0.01,0.01,0.3621362682246051
['100% Corpus'],25,0.01,0.31,0.3913404043374164
['100% Corpus'],25,0.01,0.61,0.4230049341127959
['100% Corpus'],25,0.01,0.9099999999999999,0.42596855109695736
['100% Corpus'],25,0.01,symmetric,0.33677339789390837
['100% Corpus'],25,0.31,0.01,0.30576048466679856
['100% Corpus'],25,0.31,0.31,0.3503890936950571
['100% Corpus'],25,0.31,0.61,0.42897411115494327
['100% Corpus'],25,0.31,0.9099999999999999,0.4991140441559137
['100% Corpus'],25,0.31,symmetric,0.2986356223798617
['100% Corpus'],25,0.61,0.01,0.5388420824762636
['100% Corpus'],25,0.61,0.31,0.45197598370156833
['100% Corpus'],25,0.61,0.61,0.5164693037318534
['100% Corpus'],25,0.61,0.9099999999999999,0.46872199319951585
['100% Corpus'],25,0.61,symmetric,0.4444498101213238
['100% Corpus'],25,0.9099999999999999,0.01,0.562890723814498
['100% Corpus'],25,0.9099999999999999,0.31,0.535018685997916
['100% Corpus'],25,0.9099999999999999,0.61,0.4681167223025215
['100% Corpus'],25,0.9099999999999999,0.9099999999999999,0.46730815067431253
['100% Corpus'],25,0.9099999999999999,symmetric,0.5412905685812316
['100% Corpus'],25,symmetric,0.01,0.4124495507323951
['100% Corpus'],25,symmetric,0.31,0.39636718334450793
['100% Corpus'],25,symmetric,0.61,0.42241345342985087
['100% Corpus'],25,symmetric,0.9099999999999999,0.4259720227360519
['100% Corpus'],25,symmetric,symmetric,0.4545477977417211
['100% Corpus'],25,asymmetric,0.01,0.34026679330806503
['100% Corpus'],25,asymmetric,0.31,0.3449678942746278
['100% Corpus'],25,asymmetric,0.61,0.36126058052473276
['100% Corpus'],25,asymmetric,0.9099999999999999,0.35348944043252667
['100% Corpus'],25,asymmetric,symmetric,0.34041449384362793
['100% Corpus'],26,0.01,0.01,0.3175635228188741
['100% Corpus'],26,0.01,0.31,0.381926968899104
['100% Corpus'],26,0.01,0.61,0.3852549139221175
['100% Corpus'],26,0.01,0.9099999999999999,0.3594834299751728
['100% Corpus'],26,0.01,symmetric,0.32152269966429536
['100% Corpus'],26,0.31,0.01,0.36349608782419146
['100% Corpus'],26,0.31,0.31,0.3976704584710623
['100% Corpus'],26,0.31,0.61,0.4652839935685514
['100% Corpus'],26,0.31,0.9099999999999999,0.4264554654299618
['100% Corpus'],26,0.31,symmetric,0.3540634494704739
['100% Corpus'],26,0.61,0.01,0.5469268291127235
['100% Corpus'],26,0.61,0.31,0.44171041984721415
['100% Corpus'],26,0.61,0.61,0.490792079182345
['100% Corpus'],26,0.61,0.9099999999999999,0.46763219864071165
['100% Corpus'],26,0.61,symmetric,0.4473749722529571
['100% Corpus'],26,0.9099999999999999,0.01,0.5655100614441182
['100% Corpus'],26,0.9099999999999999,0.31,0.5211442927999645
['100% Corpus'],26,0.9099999999999999,0.61,0.46877776378821473
['100% Corpus'],26,0.9099999999999999,0.9099999999999999,0.4683059606584971
['100% Corpus'],26,0.9099999999999999,symmetric,0.5458436645098346
['100% Corpus'],26,symmetric,0.01,0.33027884461374246
['100% Corpus'],26,symmetric,0.31,0.39786989757109775
['100% Corpus'],26,symmetric,0.61,0.386515093675334
['100% Corpus'],26,symmetric,0.9099999999999999,0.35350240937000427
['100% Corpus'],26,symmetric,symmetric,0.33106730960960995
['100% Corpus'],26,asymmetric,0.01,0.37842346318344544
['100% Corpus'],26,asymmetric,0.31,0.34403433889663193
['100% Corpus'],26,asymmetric,0.61,0.375980050226095
['100% Corpus'],26,asymmetric,0.9099999999999999,0.37983467096200435
['100% Corpus'],26,asymmetric,symmetric,0.37589886899776237
['100% Corpus'],27,0.01,0.01,0.30934534561317356
['100% Corpus'],27,0.01,0.31,0.387713795734971
['100% Corpus'],27,0.01,0.61,0.3860595146513164
['100% Corpus'],27,0.01,0.9099999999999999,0.4268172495304623
['100% Corpus'],27,0.01,symmetric,0.3038158405053867
['100% Corpus'],27,0.31,0.01,0.3088130627202365
['100% Corpus'],27,0.31,0.31,0.35005850019760737
['100% Corpus'],27,0.31,0.61,0.4361530762508896
['100% Corpus'],27,0.31,0.9099999999999999,0.4807075280657859
['100% Corpus'],27,0.31,symmetric,0.3023426828492673
['100% Corpus'],27,0.61,0.01,0.5472042247411415
['100% Corpus'],27,0.61,0.31,0.4508951304354205
['100% Corpus'],27,0.61,0.61,0.4966322372779674
['100% Corpus'],27,0.61,0.9099999999999999,0.4672732134027182
['100% Corpus'],27,0.61,symmetric,0.5005415426973069
['100% Corpus'],27,0.9099999999999999,0.01,0.5618948324365974
['100% Corpus'],27,0.9099999999999999,0.31,0.5089482062784211
['100% Corpus'],27,0.9099999999999999,0.61,0.46633425895934866
['100% Corpus'],27,0.9099999999999999,0.9099999999999999,0.46460470142957216
['100% Corpus'],27,0.9099999999999999,symmetric,0.5607022589516241
['100% Corpus'],27,symmetric,0.01,0.36882648921119393
['100% Corpus'],27,symmetric,0.31,0.39478183735983685
['100% Corpus'],27,symmetric,0.61,0.4089137114736546
['100% Corpus'],27,symmetric,0.9099999999999999,0.4422808497964641
['100% Corpus'],27,symmetric,symmetric,0.348034610840595
['100% Corpus'],27,asymmetric,0.01,0.42779206678133325
['100% Corpus'],27,asymmetric,0.31,0.4525000100924666
['100% Corpus'],27,asymmetric,0.61,0.3989919911933284
['100% Corpus'],27,asymmetric,0.9099999999999999,0.3977035858860904
['100% Corpus'],27,asymmetric,symmetric,0.4338248835548907
['100% Corpus'],28,0.01,0.01,0.3297642854156812
['100% Corpus'],28,0.01,0.31,0.3953697417903048
['100% Corpus'],28,0.01,0.61,0.4382749742868043
['100% Corpus'],28,0.01,0.9099999999999999,0.4187047927224281
['100% Corpus'],28,0.01,symmetric,0.3430090559712356
['100% Corpus'],28,0.31,0.01,0.32278089463350934
['100% Corpus'],28,0.31,0.31,0.3653465893773525
['100% Corpus'],28,0.31,0.61,0.4564295107203243
['100% Corpus'],28,0.31,0.9099999999999999,0.5020083409506662
['100% Corpus'],28,0.31,symmetric,0.31843546134196493
['100% Corpus'],28,0.61,0.01,0.5443601734004332
['100% Corpus'],28,0.61,0.31,0.4748007599742037
['100% Corpus'],28,0.61,0.61,0.4725510596728794
['100% Corpus'],28,0.61,0.9099999999999999,0.4649408839314963
['100% Corpus'],28,0.61,symmetric,0.5113282688314141
['100% Corpus'],28,0.9099999999999999,0.01,0.5667319381345354
['100% Corpus'],28,0.9099999999999999,0.31,0.5053796570550079
['100% Corpus'],28,0.9099999999999999,0.61,0.4672236828767103
['100% Corpus'],28,0.9099999999999999,0.9099999999999999,0.4691659453525082
['100% Corpus'],28,0.9099999999999999,symmetric,0.5625758284025558
['100% Corpus'],28,symmetric,0.01,0.3818256863240393
['100% Corpus'],28,symmetric,0.31,0.3878079083556793
['100% Corpus'],28,symmetric,0.61,0.3942785766421026
['100% Corpus'],28,symmetric,0.9099999999999999,0.4102746260906717
['100% Corpus'],28,symmetric,symmetric,0.38444143828381055
['100% Corpus'],28,asymmetric,0.01,0.3692067238674813
['100% Corpus'],28,asymmetric,0.31,0.3826720305397604
['100% Corpus'],28,asymmetric,0.61,0.4161225440651881
['100% Corpus'],28,asymmetric,0.9099999999999999,0.4099195997114626
['100% Corpus'],28,asymmetric,symmetric,0.3761160378531302
['100% Corpus'],29,0.01,0.01,0.36528369687461615
['100% Corpus'],29,0.01,0.31,0.36908042460526824
['100% Corpus'],29,0.01,0.61,0.39269518113995533
['100% Corpus'],29,0.01,0.9099999999999999,0.43183324386947775
['100% Corpus'],29,0.01,symmetric,0.3779925958342366
['100% Corpus'],29,0.31,0.01,0.3595151921986388
['100% Corpus'],29,0.31,0.31,0.4005743467215167
['100% Corpus'],29,0.31,0.61,0.5063522302367796
['100% Corpus'],29,0.31,0.9099999999999999,0.47827264014646076
['100% Corpus'],29,0.31,symmetric,0.3533143252247316
['100% Corpus'],29,0.61,0.01,0.5379539975827211
['100% Corpus'],29,0.61,0.31,0.503315517705892
['100% Corpus'],29,0.61,0.61,0.4696036385586111
['100% Corpus'],29,0.61,0.9099999999999999,0.4688514118294317
['100% Corpus'],29,0.61,symmetric,0.5316794332465912
['100% Corpus'],29,0.9099999999999999,0.01,0.5698735137217767
['100% Corpus'],29,0.9099999999999999,0.31,0.49831670926482186
['100% Corpus'],29,0.9099999999999999,0.61,0.4676385791009526
['100% Corpus'],29,0.9099999999999999,0.9099999999999999,0.4670715002688832
['100% Corpus'],29,0.9099999999999999,symmetric,0.5671694794013596
['100% Corpus'],29,symmetric,0.01,0.3689404711882486
['100% Corpus'],29,symmetric,0.31,0.3778184626002243
['100% Corpus'],29,symmetric,0.61,0.40577230236794337
['100% Corpus'],29,symmetric,0.9099999999999999,0.4129854546535763
['100% Corpus'],29,symmetric,symmetric,0.38523914919445135
['100% Corpus'],29,asymmetric,0.01,0.406400400602206
['100% Corpus'],29,asymmetric,0.31,0.39452189665619053
['100% Corpus'],29,asymmetric,0.61,0.38796213314558414
['100% Corpus'],29,asymmetric,0.9099999999999999,0.372208549734239
['100% Corpus'],29,asymmetric,symmetric,0.4114304477422508
['100% Corpus'],30,0.01,0.01,0.32754902010650705
['100% Corpus'],30,0.01,0.31,0.3548548493433979
['100% Corpus'],30,0.01,0.61,0.37901363171597213
['100% Corpus'],30,0.01,0.9099999999999999,0.3351058220917126
['100% Corpus'],30,0.01,symmetric,0.33807507043539003
['100% Corpus'],30,0.31,0.01,0.3450989044186283
['100% Corpus'],30,0.31,0.31,0.3581541473552562
['100% Corpus'],30,0.31,0.61,0.39717217629546064
['100% Corpus'],30,0.31,0.9099999999999999,0.38960671067802505
['100% Corpus'],30,0.31,symmetric,0.34785956517015776
['100% Corpus'],30,0.61,0.01,0.537025559003381
['100% Corpus'],30,0.61,0.31,0.5353279676223786
['100% Corpus'],30,0.61,0.61,0.4691770824971295
['100% Corpus'],30,0.61,0.9099999999999999,0.4669241198925764
['100% Corpus'],30,0.61,symmetric,0.5495583167009032
['100% Corpus'],30,0.9099999999999999,0.01,0.568797160922307
['100% Corpus'],30,0.9099999999999999,0.31,0.4852928149894001
['100% Corpus'],30,0.9099999999999999,0.61,0.46542737669653717
['100% Corpus'],30,0.9099999999999999,0.9099999999999999,0.4663733378399311
['100% Corpus'],30,0.9099999999999999,symmetric,0.5691967886437667
['100% Corpus'],30,symmetric,0.01,0.33068715018890393
['100% Corpus'],30,symmetric,0.31,0.3546460706812952
['100% Corpus'],30,symmetric,0.61,0.3613932699532389
['100% Corpus'],30,symmetric,0.9099999999999999,0.33980129625457295
['100% Corpus'],30,symmetric,symmetric,0.3345727651531858
['100% Corpus'],30,asymmetric,0.01,0.3257789200611531
['100% Corpus'],30,asymmetric,0.31,0.3879838019378887
['100% Corpus'],30,asymmetric,0.61,0.3768513068304608
['100% Corpus'],30,asymmetric,0.9099999999999999,0.39158850789460015
['100% Corpus'],30,asymmetric,symmetric,0.3333705303112738
['100% Corpus'],2,0.01,0.01,0.523269800648442
['100% Corpus'],2,0.01,0.31,0.523109267593491
['100% Corpus'],2,0.01,0.61,0.5380211738717915
['100% Corpus'],2,0.01,0.9099999999999999,0.5420646217954319
['100% Corpus'],2,0.01,symmetric,0.5274815137728519
['100% Corpus'],2,0.31,0.01,0.5223687021944701
['100% Corpus'],2,0.31,0.31,0.5390902706309856
['100% Corpus'],2,0.31,0.61,0.5390902706309856
['100% Corpus'],2,0.31,0.9099999999999999,0.5362725489675694
['100% Corpus'],2,0.31,symmetric,0.5390902706309856
['100% Corpus'],2,0.61,0.01,0.531798908833576
['100% Corpus'],2,0.61,0.31,0.5331244358492444
['100% Corpus'],2,0.61,0.61,0.528102984476136
['100% Corpus'],2,0.61,0.9099999999999999,0.5332169088141524
['100% Corpus'],2,0.61,symmetric,0.528102984476136
['100% Corpus'],2,0.9099999999999999,0.01,0.5240525142744894
['100% Corpus'],2,0.9099999999999999,0.31,0.5127907610522011
['100% Corpus'],2,0.9099999999999999,0.61,0.5161237849990403
['100% Corpus'],2,0.9099999999999999,0.9099999999999999,0.49158642186156687
['100% Corpus'],2,0.9099999999999999,symmetric,0.5161237849990403
['100% Corpus'],2,symmetric,0.01,0.5188713060864707
['100% Corpus'],2,symmetric,0.31,0.5331244358492444
['100% Corpus'],2,symmetric,0.61,0.5332169088141524
['100% Corpus'],2,symmetric,0.9099999999999999,0.5332169088141525
['100% Corpus'],2,symmetric,symmetric,0.528102984476136
['100% Corpus'],2,asymmetric,0.01,0.49965837809940283
['100% Corpus'],2,asymmetric,0.31,0.5056725562458266
['100% Corpus'],2,asymmetric,0.61,0.48259261250912566
['100% Corpus'],2,asymmetric,0.9099999999999999,0.46640865987013297
['100% Corpus'],2,asymmetric,symmetric,0.5018685031945732
['100% Corpus'],3,0.01,0.01,0.5158047359251025
['100% Corpus'],3,0.01,0.31,0.5306104913378008
['100% Corpus'],3,0.01,0.61,0.5419799918352816
['100% Corpus'],3,0.01,0.9099999999999999,0.5451072545114037
['100% Corpus'],3,0.01,symmetric,0.546000738338151
['100% Corpus'],3,0.31,0.01,0.5198956869591197
['100% Corpus'],3,0.31,0.31,0.5285019942282484
['100% Corpus'],3,0.31,0.61,0.5285019942282485
['100% Corpus'],3,0.31,0.9099999999999999,0.5272576396416352
['100% Corpus'],3,0.31,symmetric,0.5285019942282485
['100% Corpus'],3,0.61,0.01,0.543229471994565
['100% Corpus'],3,0.61,0.31,0.5418990086185295
['100% Corpus'],3,0.61,0.61,0.5359398557475085
['100% Corpus'],3,0.61,0.9099999999999999,0.5294165891960302
